DEBUG:root:Start of train.py
DEBUG:root:before loading data
DEBUG:root:Finished Loading Data
DEBUG:root:finished making inputs plot
DEBUG:root:beginning training loop
DEBUG:root:

Beginning epoch #0
DEBUG:root:Iteration 0 loss: 29.787919998168945
DEBUG:root:Iteration 1 loss: 33.7099494934082
DEBUG:root:Iteration 2 loss: 32.53573989868164
DEBUG:root:Iteration 3 loss: 34.08039093017578
DEBUG:root:Iteration 4 loss: 32.99423599243164
DEBUG:root:Iteration 5 loss: 33.081180572509766
DEBUG:root:Iteration 6 loss: 36.20869827270508
DEBUG:root:Iteration 7 loss: 33.53946304321289
DEBUG:root:Iteration 8 loss: 31.941946029663086
DEBUG:root:Iteration 9 loss: 32.24030303955078
DEBUG:root:Iteration 10 loss: 32.06966018676758
DEBUG:root:Iteration 11 loss: 33.4653205871582
DEBUG:root:Iteration 12 loss: 32.03499984741211
DEBUG:root:Iteration 13 loss: 32.83586502075195
DEBUG:root:Iteration 14 loss: 32.4635124206543
DEBUG:root:Iteration 15 loss: 34.142215728759766
DEBUG:root:Iteration 16 loss: 33.610862731933594
DEBUG:root:Iteration 17 loss: 31.30047035217285
DEBUG:root:Iteration 18 loss: 30.678258895874023
DEBUG:root:Iteration 19 loss: 29.91108512878418
DEBUG:root:Iteration 20 loss: 31.292766571044922
DEBUG:root:Iteration 21 loss: 30.53887176513672
DEBUG:root:Iteration 22 loss: 29.72075080871582
DEBUG:root:Iteration 23 loss: 31.37181282043457
DEBUG:root:Iteration 24 loss: 30.855697631835938
DEBUG:root:Iteration 25 loss: 31.614227294921875
DEBUG:root:Iteration 26 loss: 31.445541381835938
DEBUG:root:Iteration 27 loss: 31.363130569458008
DEBUG:root:Iteration 28 loss: 30.875438690185547
DEBUG:root:Iteration 29 loss: 31.181289672851562
DEBUG:root:Iteration 30 loss: 31.743757247924805
DEBUG:root:Iteration 31 loss: 31.626184463500977
DEBUG:root:Iteration 32 loss: 31.661239624023438
DEBUG:root:Iteration 33 loss: 29.498144149780273
DEBUG:root:Iteration 34 loss: 29.642833709716797
DEBUG:root:Iteration 35 loss: 31.03543472290039
DEBUG:root:Iteration 36 loss: 30.476606369018555
DEBUG:root:Iteration 37 loss: 31.145751953125
DEBUG:root:Iteration 38 loss: 30.959129333496094
DEBUG:root:Iteration 39 loss: 30.072641372680664
DEBUG:root:Iteration 40 loss: 30.698486328125
DEBUG:root:Iteration 41 loss: 29.343013763427734
DEBUG:root:Iteration 42 loss: 29.58925437927246
DEBUG:root:Iteration 43 loss: 30.706920623779297
DEBUG:root:Iteration 44 loss: 31.281152725219727
DEBUG:root:Iteration 45 loss: 31.42867660522461
DEBUG:root:Iteration 46 loss: 31.117996215820312
DEBUG:root:Iteration 47 loss: 29.85138511657715
DEBUG:root:Iteration 48 loss: 30.4448299407959
DEBUG:root:Iteration 49 loss: 29.976177215576172
DEBUG:root:Iteration 50 loss: 30.350624084472656
DEBUG:root:Iteration 51 loss: 30.234886169433594
DEBUG:root:Iteration 52 loss: 31.702306747436523
DEBUG:root:Iteration 53 loss: 29.511600494384766
DEBUG:root:Iteration 54 loss: 31.551427841186523
DEBUG:root:Iteration 55 loss: 29.57575035095215
DEBUG:root:Iteration 56 loss: 30.054636001586914
DEBUG:root:Iteration 57 loss: 31.07561492919922
DEBUG:root:Iteration 58 loss: 30.067707061767578
DEBUG:root:Iteration 59 loss: 32.05417251586914
DEBUG:root:Iteration 60 loss: 31.42609977722168
DEBUG:root:Iteration 61 loss: 29.8785400390625
DEBUG:root:Iteration 62 loss: 30.629539489746094
DEBUG:root:Iteration 63 loss: 31.85696792602539
DEBUG:root:Iteration 64 loss: 29.901714324951172
DEBUG:root:Iteration 65 loss: 30.123268127441406
DEBUG:root:Iteration 66 loss: 29.19879722595215
DEBUG:root:Iteration 67 loss: 30.398752212524414
DEBUG:root:Iteration 68 loss: 29.908321380615234
DEBUG:root:Iteration 69 loss: 30.56097412109375
DEBUG:root:Iteration 70 loss: 30.081886291503906
DEBUG:root:Iteration 71 loss: 30.648897171020508
DEBUG:root:Iteration 72 loss: 29.736557006835938
DEBUG:root:Iteration 73 loss: 30.567562103271484
DEBUG:root:Iteration 74 loss: 32.00687789916992
DEBUG:root:Iteration 75 loss: 29.95297622680664
DEBUG:root:Iteration 76 loss: 31.371414184570312
DEBUG:root:Iteration 77 loss: 31.150283813476562
DEBUG:root:Iteration 78 loss: 30.193655014038086
DEBUG:root:Iteration 79 loss: 30.118898391723633
DEBUG:root:Iteration 80 loss: 30.066465377807617
DEBUG:root:Iteration 81 loss: 29.678102493286133
DEBUG:root:Iteration 82 loss: 30.093421936035156
DEBUG:root:Iteration 83 loss: 30.992704391479492
DEBUG:root:Iteration 84 loss: 29.21154022216797
DEBUG:root:Iteration 85 loss: 31.17426109313965
DEBUG:root:Iteration 86 loss: 31.33740234375
DEBUG:root:Iteration 87 loss: 30.56186866760254
DEBUG:root:Iteration 88 loss: 30.260236740112305
DEBUG:root:Iteration 89 loss: 31.41957664489746
DEBUG:root:Iteration 90 loss: 31.68358039855957
DEBUG:root:Iteration 91 loss: 31.023391723632812
DEBUG:root:Iteration 92 loss: 30.769145965576172
DEBUG:root:Iteration 93 loss: 28.45738410949707
DEBUG:root:Iteration 94 loss: 30.490406036376953
DEBUG:root:Iteration 95 loss: 29.609664916992188
DEBUG:root:Iteration 96 loss: 30.3580265045166
DEBUG:root:Iteration 97 loss: 29.756458282470703
DEBUG:root:Iteration 98 loss: 31.573293685913086
DEBUG:root:Iteration 99 loss: 30.689971923828125
DEBUG:root:Iteration 100 loss: 30.174814224243164
DEBUG:root:Iteration 101 loss: 29.27926254272461
DEBUG:root:Iteration 102 loss: 32.18857955932617
DEBUG:root:Iteration 103 loss: 29.836063385009766
DEBUG:root:Iteration 104 loss: 30.479162216186523
DEBUG:root:Iteration 105 loss: 29.376943588256836
