DEBUG:root:Start of train.py
DEBUG:root:before loading data
DEBUG:root:Finished Loading Data
DEBUG:root:finished making inputs plot
DEBUG:root:beginning training loop
DEBUG:root:

Beginning epoch #0
DEBUG:root:Iteration 0 loss: 30.90720558166504
DEBUG:root:Iteration 1 loss: 33.94625473022461
DEBUG:root:Iteration 2 loss: 33.608829498291016
DEBUG:root:Iteration 3 loss: 33.56635665893555
DEBUG:root:Iteration 4 loss: 33.1131477355957
DEBUG:root:Iteration 5 loss: 33.3601188659668
DEBUG:root:Iteration 6 loss: 33.23445129394531
DEBUG:root:Iteration 7 loss: 33.50360107421875
DEBUG:root:Iteration 8 loss: 33.273494720458984
DEBUG:root:Iteration 9 loss: 33.32076644897461
DEBUG:root:Iteration 10 loss: 33.046142578125
DEBUG:root:Iteration 11 loss: 33.257259368896484
DEBUG:root:Iteration 12 loss: 33.12358093261719
DEBUG:root:Iteration 13 loss: 33.177452087402344
DEBUG:root:Iteration 14 loss: 32.63865661621094
DEBUG:root:Iteration 15 loss: 33.30630111694336
DEBUG:root:Iteration 16 loss: 33.54759216308594
DEBUG:root:Iteration 17 loss: 33.062049865722656
DEBUG:root:Iteration 18 loss: 32.58700942993164
DEBUG:root:Iteration 19 loss: 33.575218200683594
DEBUG:root:Iteration 20 loss: 33.258575439453125
DEBUG:root:Iteration 21 loss: 33.01009750366211
DEBUG:root:Iteration 22 loss: 33.14077377319336
DEBUG:root:Iteration 23 loss: 32.95802307128906
DEBUG:root:Iteration 24 loss: 32.79184341430664
DEBUG:root:Iteration 25 loss: 32.4090461730957
DEBUG:root:Iteration 26 loss: 33.082706451416016
DEBUG:root:Iteration 27 loss: 32.98859786987305
DEBUG:root:Iteration 28 loss: 32.52399444580078
DEBUG:root:Iteration 29 loss: 32.93846893310547
DEBUG:root:Iteration 30 loss: 32.94289016723633
DEBUG:root:Iteration 31 loss: 32.857261657714844
DEBUG:root:Iteration 32 loss: 32.56977081298828
DEBUG:root:Iteration 33 loss: 32.82329177856445
DEBUG:root:Iteration 34 loss: 33.145957946777344
DEBUG:root:Iteration 35 loss: 33.2471809387207
DEBUG:root:Iteration 36 loss: 32.60211944580078
DEBUG:root:Iteration 37 loss: 32.850223541259766
DEBUG:root:Iteration 38 loss: 32.283966064453125
DEBUG:root:Iteration 39 loss: 32.68900680541992
DEBUG:root:Iteration 40 loss: 32.520652770996094
DEBUG:root:Iteration 41 loss: 32.75921630859375
DEBUG:root:Iteration 42 loss: 32.87749481201172
DEBUG:root:Iteration 43 loss: 32.05842971801758
DEBUG:root:Iteration 44 loss: 33.348533630371094
DEBUG:root:Iteration 45 loss: 32.83236312866211
DEBUG:root:Iteration 46 loss: 32.623172760009766
DEBUG:root:Iteration 47 loss: 32.43354034423828
DEBUG:root:Iteration 48 loss: 32.25370407104492
DEBUG:root:Iteration 49 loss: 32.743778228759766
DEBUG:root:Iteration 50 loss: 32.973052978515625
DEBUG:root:Iteration 51 loss: 32.530914306640625
DEBUG:root:Iteration 52 loss: 33.25394821166992
DEBUG:root:Iteration 53 loss: 32.60736846923828
DEBUG:root:Iteration 54 loss: 32.67359924316406
DEBUG:root:Iteration 55 loss: 32.7086181640625
DEBUG:root:Iteration 56 loss: 32.474395751953125
DEBUG:root:Iteration 57 loss: 32.157920837402344
DEBUG:root:Iteration 58 loss: 32.65050506591797
DEBUG:root:Iteration 59 loss: 32.86758804321289
DEBUG:root:Iteration 60 loss: 32.277400970458984
DEBUG:root:Iteration 61 loss: 32.76695251464844
DEBUG:root:Iteration 62 loss: 32.83348083496094
DEBUG:root:Iteration 63 loss: 31.995410919189453
DEBUG:root:Iteration 64 loss: 32.474674224853516
DEBUG:root:Iteration 65 loss: 32.8554573059082
DEBUG:root:Iteration 66 loss: 32.19702911376953
DEBUG:root:Iteration 67 loss: 32.57357406616211
DEBUG:root:Iteration 68 loss: 32.17475128173828
DEBUG:root:Iteration 69 loss: 32.37782669067383
DEBUG:root:Iteration 70 loss: 32.431331634521484
DEBUG:root:Iteration 71 loss: 32.68421173095703
DEBUG:root:Iteration 72 loss: 32.28177261352539
DEBUG:root:Iteration 73 loss: 32.1919059753418
DEBUG:root:Iteration 74 loss: 32.46858596801758
DEBUG:root:Iteration 75 loss: 32.50165557861328
DEBUG:root:Iteration 76 loss: 32.284244537353516
DEBUG:root:Iteration 77 loss: 32.29815673828125
DEBUG:root:Iteration 78 loss: 32.17671585083008
DEBUG:root:Iteration 79 loss: 32.72488021850586
DEBUG:root:Iteration 80 loss: 32.189876556396484
DEBUG:root:Iteration 81 loss: 32.41271209716797
DEBUG:root:Iteration 82 loss: 32.37654495239258
DEBUG:root:Iteration 83 loss: 32.31843948364258
DEBUG:root:Iteration 84 loss: 32.28171920776367
DEBUG:root:Iteration 85 loss: 32.43817138671875
DEBUG:root:Iteration 86 loss: 32.213584899902344
DEBUG:root:Iteration 87 loss: 32.12192916870117
DEBUG:root:Iteration 88 loss: 32.45501708984375
DEBUG:root:Iteration 89 loss: 32.298885345458984
DEBUG:root:Iteration 90 loss: 32.71607208251953
DEBUG:root:Iteration 91 loss: 31.81646728515625
DEBUG:root:Iteration 92 loss: 31.797008514404297
DEBUG:root:Iteration 93 loss: 32.697608947753906
DEBUG:root:Iteration 94 loss: 32.34934997558594
DEBUG:root:Iteration 95 loss: 32.04996871948242
DEBUG:root:Iteration 96 loss: 32.418479919433594
DEBUG:root:Iteration 97 loss: 32.119693756103516
DEBUG:root:Iteration 98 loss: 32.6136360168457
DEBUG:root:Iteration 99 loss: 32.066307067871094
DEBUG:root:Iteration 100 loss: 32.26018142700195
DEBUG:root:Iteration 101 loss: 32.317630767822266
DEBUG:root:Iteration 102 loss: 31.99455451965332
DEBUG:root:Iteration 103 loss: 32.07752990722656
DEBUG:root:Iteration 104 loss: 32.337730407714844
DEBUG:root:Iteration 105 loss: 32.197608947753906
