,Q2,x,z,pt
126,1.77,0.21,0.45000000000000007,0.5500000000000002
127,1.77,0.21,0.45000000000000007,0.6500000000000001
128,1.77,0.21,0.45000000000000007,0.7500000000000002
129,1.77,0.21,0.45000000000000007,0.8500000000000002
130,1.77,0.21,0.45000000000000007,0.9500000000000002
131,1.77,0.21,0.45000000000000007,1.0500000000000003
132,1.77,0.21,0.55,0.05
133,1.77,0.21,0.55,0.15000000000000002
134,1.77,0.21,0.55,0.25000000000000006
135,1.77,0.21,0.55,0.35000000000000003
136,1.77,0.21,0.55,0.45000000000000007
137,1.77,0.21,0.55,0.5500000000000002
138,1.77,0.21,0.55,0.6500000000000001
139,1.77,0.21,0.55,0.7500000000000002
140,1.77,0.21,0.55,0.8500000000000002
141,1.77,0.21,0.55,0.9500000000000002
142,1.77,0.21,0.55,1.0500000000000003
143,1.77,0.21,0.65,0.05
144,1.77,0.21,0.65,0.15000000000000002
145,1.77,0.21,0.65,0.25000000000000006
146,1.77,0.21,0.65,0.35000000000000003
147,1.77,0.21,0.65,0.45000000000000007
148,1.77,0.21,0.65,0.5500000000000002
149,1.77,0.21,0.65,0.6500000000000001
150,1.77,0.21,0.65,0.7500000000000002
151,1.77,0.21,0.65,0.8500000000000002
152,1.77,0.21,0.65,0.9500000000000002
153,1.77,0.21,0.65,1.0500000000000003
154,1.77,0.21,0.7500000000000001,0.05
155,1.77,0.21,0.7500000000000001,0.15000000000000002
156,1.77,0.21,0.7500000000000001,0.25000000000000006
157,1.77,0.21,0.7500000000000001,0.35000000000000003
158,1.77,0.21,0.7500000000000001,0.45000000000000007
159,1.77,0.21,0.7500000000000001,0.5500000000000002
160,1.77,0.21,0.7500000000000001,0.6500000000000001
161,1.77,0.21,0.7500000000000001,0.7500000000000002
162,1.77,0.21,0.7500000000000001,0.8500000000000002
163,1.77,0.21,0.7500000000000001,0.9500000000000002
164,1.77,0.21,0.7500000000000001,1.0500000000000003
165,1.77,0.21,0.8500000000000001,0.05
166,1.77,0.21,0.8500000000000001,0.15000000000000002
167,1.77,0.21,0.8500000000000001,0.25000000000000006
168,1.77,0.21,0.8500000000000001,0.35000000000000003
169,1.77,0.21,0.8500000000000001,0.45000000000000007
170,1.77,0.21,0.8500000000000001,0.5500000000000002
171,1.77,0.21,0.8500000000000001,0.6500000000000001
172,1.77,0.21,0.8500000000000001,0.7500000000000002
173,1.77,0.21,0.8500000000000001,0.8500000000000002
174,1.77,0.21,0.8500000000000001,0.9500000000000002
175,1.77,0.21,0.8500000000000001,1.0500000000000003
176,2.19,0.16,0.15,0.05
177,2.19,0.16,0.15,0.15000000000000002
178,2.19,0.16,0.15,0.25000000000000006
179,2.19,0.16,0.15,0.35000000000000003
180,2.19,0.16,0.15,0.45000000000000007
181,2.19,0.16,0.15,0.5500000000000002
182,2.19,0.16,0.15,0.6500000000000001
183,2.19,0.16,0.15,0.7500000000000002
184,2.19,0.16,0.15,0.8500000000000002
185,2.19,0.16,0.15,0.9500000000000002
186,2.19,0.16,0.15,1.0500000000000003
187,2.19,0.16,0.25,0.05
188,2.19,0.16,0.25,0.15000000000000002
189,2.19,0.16,0.25,0.25000000000000006
190,2.19,0.16,0.25,0.35000000000000003
191,2.19,0.16,0.25,0.45000000000000007
192,2.19,0.16,0.25,0.5500000000000002
